Student_ID,Age,Age_Group,Gender,Academic_Level,Country,Relationship_Status,Vulnerable_Group,Most_Used_Platform,Platform_Type,Avg_Daily_Usage_Hours,Usage_Intensity,Usage_Duration_Category,Addicted_Score,Addiction_Level,High_Risk_Addiction,Mental_Health_Score,Mental_Health_Category,Mental_Health_Detail,Sleep_Hours_Per_Night,Sleep_Quality,Sleep_Quality_Detail,Conflicts_Over_Social_Media,Conflict_Level,Academic_Impact_Label
11,19,16-19 (Sangat Muda),Laki-laki,Sarjana,France,Rumit,Ya (Laki-laki Sangat Muda),Snapchat,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),6.2,Cukup,Cukup (6-7h),3,Sedang,Terdampak
12,20,20-22 (Muda),Perempuan,Sarjana,Spain,Berpacaran,Ya (Perempuan Muda),TikTok,Video Pendek,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),2,Rendah,Terdampak
13,22,20-22 (Muda),Laki-laki,Pascasarjana,Italy,Lajang,Tidak,LinkedIn,Profesional,2.8,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.2,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
14,18,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Mexico,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,6.5,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
15,21,20-22 (Muda),Laki-laki,Sarjana,Russia,Berpacaran,Tidak,YouTube,Video Panjang,3.7,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.8,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
16,20,20-22 (Muda),Perempuan,Sarjana,China,Rumit,Ya (Perempuan Muda),TikTok,Video Pendek,4.2,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.0,Kurang,Kurang (5-6h),3,Sedang,Terdampak
17,24,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Sweden,Lajang,Tidak,LinkedIn,Profesional,2.0,Rendah,Penggunaan Rendah (≤4 jam),3,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.8,Baik,Baik (7-9h),0,Tidak Ada,Tidak Terdampak
18,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Norway,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.0,Sedang,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
19,21,20-22 (Muda),Laki-laki,Sarjana,Denmark,Lajang,Tidak,Facebook,Sosial/Komunitas,3.5,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.7,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
20,20,20-22 (Muda),Perempuan,Sarjana,Netherlands,Rumit,Ya (Perempuan Muda),Snapchat,Visual/Photo,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
21,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Belgium,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.3,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
22,23,23-25 (Dewasa Muda),Perempuan,Pascasarjana,Switzerland,Berpacaran,Tidak,LinkedIn,Profesional,2.5,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.3,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
23,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Austria,Rumit,Ya (Laki-laki Sangat Muda),Instagram,Visual/Photo,4.9,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
24,20,20-22 (Muda),Perempuan,Sarjana,Portugal,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,5.7,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.4,Kurang,Kurang (5-6h),4,Sedang,Terdampak
25,22,20-22 (Muda),Laki-laki,Pascasarjana,Greece,Berpacaran,Tidak,Facebook,Sosial/Komunitas,3.2,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.9,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
26,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Ireland,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,6.1,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.2,Kurang,Kurang (5-6h),4,Sedang,Terdampak
27,21,20-22 (Muda),Laki-laki,Sarjana,New Zealand,Lajang,Tidak,YouTube,Video Panjang,3.8,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.6,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
28,20,20-22 (Muda),Perempuan,Sarjana,Singapore,Berpacaran,Ya (Perempuan Muda),TikTok,Video Pendek,4.4,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
29,24,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Malaysia,Lajang,Tidak,LinkedIn,Profesional,2.2,Sedang,Penggunaan Rendah (≤4 jam),3,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.4,Baik,Baik (7-9h),0,Tidak Ada,Tidak Terdampak
30,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Thailand,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,5.9,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.3,Kurang,Kurang (5-6h),4,Sedang,Terdampak
31,21,20-22 (Muda),Laki-laki,Sarjana,Vietnam,Lajang,Tidak,Facebook,Sosial/Komunitas,3.6,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.7,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
32,20,20-22 (Muda),Perempuan,Sarjana,Philippines,Berpacaran,Ya (Perempuan Muda),Snapchat,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
33,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Indonesia,Rumit,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.4,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.4,Kurang,Kurang (5-6h),4,Sedang,Terdampak
34,23,23-25 (Dewasa Muda),Perempuan,Pascasarjana,Taiwan,Lajang,Tidak,LinkedIn,Profesional,2.6,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.2,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
35,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Hong Kong,Berpacaran,Ya (Laki-laki Sangat Muda),Instagram,Visual/Photo,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
36,20,20-22 (Muda),Perempuan,Sarjana,Turkey,Rumit,Ya (Perempuan Muda),TikTok,Video Pendek,5.6,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
37,22,20-22 (Muda),Laki-laki,Pascasarjana,Israel,Lajang,Tidak,Facebook,Sosial/Komunitas,3.1,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.8,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
38,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,UAE,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,6.2,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.1,Kurang,Kurang (5-6h),4,Sedang,Terdampak
39,21,20-22 (Muda),Laki-laki,Sarjana,Egypt,Rumit,Tidak,YouTube,Video Panjang,3.9,Sedang,Penggunaan Rendah (≤4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),6.5,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
40,20,20-22 (Muda),Perempuan,Sarjana,Morocco,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,4.5,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
41,24,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,South Africa,Berpacaran,Tidak,LinkedIn,Profesional,2.3,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.3,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
42,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Nigeria,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,5.8,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.4,Kurang,Kurang (5-6h),4,Sedang,Terdampak
43,21,20-22 (Muda),Laki-laki,Sarjana,Kenya,Lajang,Tidak,Facebook,Sosial/Komunitas,3.7,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.6,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
44,20,20-22 (Muda),Perempuan,Sarjana,Ghana,Berpacaran,Ya (Perempuan Muda),Snapchat,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
45,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Argentina,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.3,Kurang,Kurang (5-6h),4,Sedang,Terdampak
46,23,23-25 (Dewasa Muda),Perempuan,Pascasarjana,Chile,Rumit,Tidak,LinkedIn,Profesional,2.7,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.1,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
47,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Colombia,Berpacaran,Ya (Laki-laki Sangat Muda),Instagram,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
48,20,20-22 (Muda),Perempuan,Sarjana,Peru,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.6,Kurang,Kurang (5-6h),4,Sedang,Terdampak
49,22,20-22 (Muda),Laki-laki,Pascasarjana,Venezuela,Berpacaran,Tidak,Facebook,Sosial/Komunitas,3.3,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.7,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
50,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Ecuador,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,6.3,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.2,Kurang,Kurang (5-6h),4,Sedang,Terdampak
51,21,20-22 (Muda),Laki-laki,Sarjana,Uruguay,Lajang,Tidak,YouTube,Video Panjang,3.8,Sedang,Penggunaan Rendah (≤4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),6.4,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
52,20,20-22 (Muda),Perempuan,Sarjana,Paraguay,Berpacaran,Ya (Perempuan Muda),TikTok,Video Pendek,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
53,24,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Bolivia,Rumit,Tidak,LinkedIn,Profesional,2.4,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.2,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
54,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Costa Rica,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,5.7,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
55,21,20-22 (Muda),Laki-laki,Sarjana,Panama,Berpacaran,Tidak,Facebook,Sosial/Komunitas,3.6,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.5,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
56,20,20-22 (Muda),Perempuan,Sarjana,Jamaica,Rumit,Ya (Perempuan Muda),Snapchat,Visual/Photo,4.9,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.6,Kurang,Kurang (5-6h),3,Sedang,Terdampak
57,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Trinidad,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.6,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.2,Kurang,Kurang (5-6h),4,Sedang,Terdampak
58,23,23-25 (Dewasa Muda),Perempuan,Pascasarjana,Bahamas,Berpacaran,Tidak,LinkedIn,Profesional,2.8,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.0,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
59,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Iceland,Rumit,Ya (Laki-laki Sangat Muda),Instagram,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
60,20,20-22 (Muda),Perempuan,Sarjana,Finland,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,5.4,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.7,Kurang,Kurang (5-6h),4,Sedang,Terdampak
61,22,20-22 (Muda),Laki-laki,Pascasarjana,Poland,Lajang,Tidak,Facebook,Sosial/Komunitas,3.1,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.1,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
62,19,16-19 (Sangat Muda),Perempuan,Sarjana,Romania,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.6,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.6,Kurang,Kurang (5-6h),3,Sedang,Terdampak
63,20,20-22 (Muda),Laki-laki,Sarjana,Hungary,Rumit,Tidak,TikTok,Video Pendek,4.2,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.0,Kurang,Kurang (5-6h),3,Sedang,Terdampak
64,18,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Czech Republic,Lajang,Ya (Perempuan Muda),Snapchat,Visual/Photo,6.1,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,4,Sedang,Buruk (4-5),5.2,Kurang,Kurang (5-6h),4,Sedang,Terdampak
65,23,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Slovakia,Berpacaran,Tidak,LinkedIn,Profesional,2.3,Sedang,Penggunaan Rendah (≤4 jam),3,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.4,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
66,21,20-22 (Muda),Perempuan,Sarjana,Croatia,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
67,20,20-22 (Muda),Laki-laki,Sarjana,Serbia,Rumit,Tidak,YouTube,Video Panjang,3.9,Sedang,Penggunaan Rendah (≤4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),6.5,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
68,19,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Slovenia,Berpacaran,Ya (Perempuan Muda),TikTok,Video Pendek,5.7,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.4,Kurang,Kurang (5-6h),4,Sedang,Terdampak
69,22,20-22 (Muda),Laki-laki,Pascasarjana,Bulgaria,Lajang,Tidak,LinkedIn,Profesional,2.8,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.2,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
70,20,20-22 (Muda),Perempuan,Sarjana,Estonia,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,4.5,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
71,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Latvia,Lajang,Ya (Laki-laki Sangat Muda),Snapchat,Visual/Photo,5.4,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.5,Kurang,Kurang (5-6h),4,Sedang,Terdampak
72,21,20-22 (Muda),Perempuan,Pascasarjana,Lithuania,Berpacaran,Ya (Perempuan Muda),Facebook,Sosial/Komunitas,3.2,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.8,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
73,19,16-19 (Sangat Muda),Laki-laki,Sarjana,Ukraine,Rumit,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,4.9,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
74,20,20-22 (Muda),Perempuan,Sarjana,Moldova,Lajang,Ya (Perempuan Muda),Instagram,Visual/Photo,5.8,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.3,Kurang,Kurang (5-6h),4,Sedang,Terdampak
75,23,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Belarus,Berpacaran,Tidak,LinkedIn,Profesional,2.5,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.3,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
76,21,20-22 (Muda),Perempuan,Sarjana,Kazakhstan,Lajang,Ya (Perempuan Muda),Snapchat,Visual/Photo,4.6,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
77,19,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Uzbekistan,Rumit,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,5.5,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.4,Kurang,Kurang (5-6h),4,Sedang,Terdampak
78,22,20-22 (Muda),Perempuan,Pascasarjana,Kyrgyzstan,Berpacaran,Tidak,Facebook,Sosial/Komunitas,2.9,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.0,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
79,20,20-22 (Muda),Laki-laki,Sarjana,Tajikistan,Lajang,Tidak,YouTube,Video Panjang,4.7,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.9,Kurang,Kurang (5-6h),3,Sedang,Terdampak
80,18,16-19 (Sangat Muda),Perempuan,SMA/Sederajat,Armenia,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,5.9,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.2,Kurang,Kurang (5-6h),4,Sedang,Terdampak
81,21,20-22 (Muda),Laki-laki,Pascasarjana,Georgia,Berpacaran,Tidak,LinkedIn,Profesional,3.0,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.1,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
82,19,16-19 (Sangat Muda),Perempuan,Sarjana,Azerbaijan,Lajang,Ya (Perempuan Muda),TikTok,Video Pendek,4.8,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.7,Kurang,Kurang (5-6h),3,Sedang,Terdampak
83,20,20-22 (Muda),Laki-laki,Sarjana,Cyprus,Rumit,Tidak,Facebook,Sosial/Komunitas,3.8,Sedang,Penggunaan Rendah (≤4 jam),6,Risiko Sedang,Tidak,7,Baik,Sedang (6-7),6.6,Cukup,Cukup (6-7h),2,Rendah,Tidak Terdampak
84,22,20-22 (Muda),Perempuan,Pascasarjana,Malta,Berpacaran,Tidak,LinkedIn,Profesional,2.7,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.2,Baik,Baik (7-9h),1,Rendah,Tidak Terdampak
85,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Luxembourg,Lajang,Ya (Laki-laki Sangat Muda),Snapchat,Visual/Photo,5.6,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,5,Sedang,Buruk (4-5),5.3,Kurang,Kurang (5-6h),4,Sedang,Terdampak
86,21,20-22 (Muda),Perempuan,Sarjana,Monaco,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,4.5,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),5.8,Kurang,Kurang (5-6h),3,Sedang,Terdampak
